"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"May 16","They don't teach this in church. Read Deuteronomy 28 slowly. 🔱 Full breakdown on YouTube → @AIBIBLEGOSPELS link in bio #12tribes #bibletok #hebrewisraelites #prophecy #bibletiktok #blackhistory #israelite #deuteronomy28 #aibiblegospels 2025-02-14-80963","https://www.tiktok.com/@aibiblegospels_/video/7629867741511486734","April 17","1538","74","1085","15210"
"May 16","#stitch with @Hmblzayy         Day 33. 633 miles. He's still walking.Live map → faithwalklive.com#Faithwalk #MinisterZay #Yeshua","https://www.tiktok.com/@aibiblegospels_/video/7633532513444482335","April 27","19","3","3","2653"
"May 16","Day 31. 607 miles in. He's still walking. 🙏🏾 This is the live tracker — every step Minister Zay has taken from Philly toward Cali. 26 mi from Dayton, OH right now. Link in bio for the real-time map. #FaithWalk #HMBL #MinisterZay @Hmblzayy","https://www.tiktok.com/@aibiblegospels_/video/7633227950443334942","April 26","24","1","4","1500"
"May 16","They don't teach this in church. Read Deuteronomy 28 slowly. 🔱 Full breakdown on YouTube → @AIBIBLEGOSPELS link in bio #bibletiktok #BlackHistory #israelite #deuteronomy28 #aibiblegospels","https://www.tiktok.com/@aibiblegospels_/video/7624317438498295054","April 2","107","3","8","841"
"May 16","They don't teach this in church. Read Deuteronomy 28 slowly. 🔱 Full breakdown on YouTube → @AIBIBLEGOSPELS link in bio #12tribes #bibletok #hebrewisraelites #prophecy #bibletiktok #blackhistory #israelite #deuteronomy28 #aibiblegospels Deut 64","https://www.tiktok.com/@aibiblegospels_/video/7625600606098492686","April 6","45","1","1","611"
"May 16","🌎Uncover the enigmatic journey of the 12 Tribes of Israel! From ancient history to modern mysteries, explore how tribes like Reuben, Judah, and Gad resonate today. Theories link them to diverse groups worldwide, blending heritage and prophecy. Remember, these views aren’t mainstream but spark fascinating debates! What do you think? #12Tribesoflsrael #BiblicalMysteries #HistoryAndCulture #ModernIdentities #AncientToModern #Intriguing Theories","https://www.tiktok.com/@aibiblegospels_/video/7470329627030965546","February 11","151","9","12","4826"
"May 16","They don't teach this in church. Read Deuteronomy 28 slowly. 🔱 Full breakdown on YouTube → @AIBIBLEGOSPELS link in bio #12tribes #bibletok #hebrewisraelites #prophecy #bibletiktok #blackhistory #israelite #deuteronomy28 #aibiblegospels 1 Maccabees Chapter 1 Verse 45","https://www.tiktok.com/@aibiblegospels_/video/7625709305961958670","April 6","39","1","1","532"
"May 16","They don't teach this in church. Read Deuteronomy 28 slowly. 🔱 Full breakdown on YouTube → @AIBIBLEGOSPELS link in bio #12tribes #bibletok #hebrewisraelites #prophecy #bibletiktok #blackhistory #israelite #deuteronomy28 #aibiblegospels Where Did The Lost Tribes of Israel Really Go_","https://www.tiktok.com/@aibiblegospels_/video/7630609926636702990","April 19","53","3","12","494"
"May 16","They don't teach this in church. Read Deuteronomy 28 slowly. 🔱 Full breakdown on YouTube → @AIBIBLEGOSPELS link in bio #12tribes #bibletok #hebrewisraelites #prophecy #bibletiktok","https://www.tiktok.com/@aibiblegospels_/video/7624322362946686222","April 2","45","3","23","476"
"May 16","They don't teach this in church. Read Deuteronomy 28 slowly. 🔱 Full breakdown on YouTube → @AIBIBLEGOSPELS link in bio #12tribes #bibletok #hebrewisraelites #prophecy #bibletiktok #blackhistory #israelite #deuteronomy28 #aibiblegospels The Mystery Behind The 12 Lost Tribes of Israel REVEALED_","https://www.tiktok.com/@aibiblegospels_/video/7630423981127945486","April 19","32","1","10","424"
"May 16","They don't teach this in church. Read Deuteronomy 28 slowly. 🔱 Full breakdown on YouTube → @AIBIBLEGOSPELS link in bio #12tribes #bibletok #hebrewisraelites #prophecy #bibletiktok #blackhistory #israelite #deuteronomy28 #aibiblegospels Ancient Biblical Mystery Links Lost Tribes to the Americas!","https://www.tiktok.com/@aibiblegospels_/video/7630052864664063245","April 18","28","1","8","421"
"May 16","Shalom Family, the wait is OVER. TONIGHT at 8:00 PM EST, our prophetic film “The Chosen: 12 Tribes Prophecy Revealed” premieres LIVE on YouTube! This is more than a movie — it’s a divine message. Based on Deuteronomy 28, this film reveals the identity, struggle, and spiritual destiny of the Lost 12 Tribes of Israel. If you’ve ever asked “Who are we?” “What tribe am I from?” — this is for YOU. Set your reminder, share the link, and show up with your tribe! Drop a “12” in the comments if you’re pulling up tonight! WATCH HERE: https://youtu.be/mAJS97kNC5E","https://www.tiktok.com/@aibiblegospels_/video/7508500851607063839","May 25","16","1","3","398"
"May 16","They don't teach this in church. Read Deuteronomy 28 slowly. 🔱 Full breakdown on YouTube → @AIBIBLEGOSPELS link in bio #12tribes #bibletok #hebrewisraelites #prophecy #bibletiktok #blackhistory #israelite #deuteronomy28 #aibiblegospels 2025-02-20-22273","https://www.tiktok.com/@aibiblegospels_/video/7629311536640609550","April 16","43","2","67","380"
