"Date","Hour","Active followers"
"May 9","0","135"
"May 9","1","120"
"May 9","2","85"
"May 9","3","81"
"May 9","4","70"
"May 9","5","77"
"May 9","6","81"
"May 9","7","90"
"May 9","8","149"
"May 9","9","159"
"May 9","10","181"
"May 9","11","168"
"May 9","12","171"
"May 9","13","184"
"May 9","14","174"
"May 9","15","186"
"May 9","16","193"
"May 9","17","179"
"May 9","18","183"
"May 9","19","186"
"May 9","20","192"
"May 9","21","192"
"May 9","22","198"
"May 9","23","175"
"May 10","0","144"
"May 10","1","120"
"May 10","2","87"
"May 10","3","77"
"May 10","4","58"
"May 10","5","61"
"May 10","6","90"
"May 10","7","106"
"May 10","8","146"
"May 10","9","172"
"May 10","10","192"
"May 10","11","188"
"May 10","12","182"
"May 10","13","177"
"May 10","14","185"
"May 10","15","166"
"May 10","16","180"
"May 10","17","191"
"May 10","18","182"
"May 10","19","205"
"May 10","20","218"
"May 10","21","201"
"May 10","22","207"
"May 10","23","179"
"May 11","0","139"
"May 11","1","115"
"May 11","2","99"
"May 11","3","81"
"May 11","4","78"
"May 11","5","76"
"May 11","6","102"
"May 11","7","140"
"May 11","8","165"
"May 11","9","167"
"May 11","10","194"
"May 11","11","191"
"May 11","12","189"
"May 11","13","206"
"May 11","14","193"
"May 11","15","204"
"May 11","16","198"
"May 11","17","210"
"May 11","18","223"
"May 11","19","212"
"May 11","20","197"
"May 11","21","220"
"May 11","22","206"
"May 11","23","183"
"May 12","0","155"
"May 12","1","129"
"May 12","2","97"
"May 12","3","79"
"May 12","4","82"
"May 12","5","83"
"May 12","6","112"
"May 12","7","145"
"May 12","8","162"
"May 12","9","184"
"May 12","10","193"
"May 12","11","195"
"May 12","12","215"
"May 12","13","211"
"May 12","14","212"
"May 12","15","210"
"May 12","16","220"
"May 12","17","196"
"May 12","18","196"
"May 12","19","200"
"May 12","20","239"
"May 12","21","227"
"May 12","22","194"
"May 12","23","182"
"May 13","0","157"
"May 13","1","100"
"May 13","2","88"
"May 13","3","81"
"May 13","4","77"
"May 13","5","87"
"May 13","6","119"
"May 13","7","168"
"May 13","8","156"
"May 13","9","200"
"May 13","10","200"
"May 13","11","215"
"May 13","12","223"
"May 13","13","220"
"May 13","14","232"
"May 13","15","211"
"May 13","16","225"
"May 13","17","229"
"May 13","18","234"
"May 13","19","243"
"May 13","20","240"
"May 13","21","238"
"May 13","22","194"
"May 13","23","195"
"May 14","0","164"
"May 14","1","124"
"May 14","2","90"
"May 14","3","96"
"May 14","4","84"
"May 14","5","81"
"May 14","6","132"
"May 14","7","163"
"May 14","8","199"
"May 14","9","234"
"May 14","10","208"
"May 14","11","226"
"May 14","12","228"
"May 14","13","225"
"May 14","14","235"
"May 14","15","233"
"May 14","16","246"
"May 14","17","226"
"May 14","18","230"
"May 14","19","238"
"May 14","20","0"
"May 14","21","0"
"May 14","22","0"
"May 14","23","0"
