"Date","Followers","Difference in followers from previous day"
"May 15","493","0"
"May 16","493","0"
"May 17","493","0"
"May 18","493","-1"
"May 19","492","0"
"May 20","492","0"
"May 21","492","0"
"May 22","492","0"
"May 23","492","0"
"May 24","492","0"
"May 25","492","1"
"May 26","493","0"
"May 27","493","0"
"May 28","493","0"
"May 29","493","0"
"May 30","493","0"
"May 31","493","1"
"June 1","494","0"
"June 2","494","0"
"June 3","494","0"
"June 4","494","0"
"June 5","494","0"
"June 6","494","0"
"June 7","494","0"
"June 8","494","0"
"June 9","494","0"
"June 10","494","0"
"June 11","494","0"
"June 12","494","0"
"June 13","494","0"
"June 14","494","0"
"June 15","494","0"
"June 16","494","0"
"June 17","494","0"
"June 18","494","0"
"June 19","494","0"
"June 20","494","0"
"June 21","494","0"
"June 22","494","0"
"June 23","494","0"
"June 24","494","0"
"June 25","494","0"
"June 26","494","0"
"June 27","494","0"
"June 28","494","0"
"June 29","494","0"
"June 30","494","0"
"July 1","494","0"
"July 2","494","0"
"July 3","494","0"
"July 4","494","0"
"July 5","494","0"
"July 6","494","0"
"July 7","494","0"
"July 8","494","0"
"July 9","494","0"
"July 10","494","0"
"July 11","494","0"
"July 12","494","1"
"July 13","495","0"
"July 14","495","0"
"July 15","495","0"
"July 16","495","0"
"July 17","495","0"
"July 18","495","0"
"July 19","495","0"
"July 20","495","0"
"July 21","495","0"
"July 22","495","0"
"July 23","495","0"
"July 24","495","0"
"July 25","495","0"
"July 26","495","0"
"July 27","495","0"
"July 28","495","0"
"July 29","495","0"
"July 30","495","0"
"July 31","495","0"
"August 1","495","0"
"August 2","495","0"
"August 3","495","0"
"August 4","495","-1"
"August 5","494","0"
"August 6","494","0"
"August 7","494","0"
"August 8","494","0"
"August 9","494","0"
"August 10","494","0"
"August 11","494","0"
"August 12","494","0"
"August 13","494","0"
"August 14","494","-1"
"August 15","493","0"
"August 16","493","0"
"August 17","493","0"
"August 18","493","0"
"August 19","493","0"
"August 20","493","0"
"August 21","493","0"
"August 22","493","0"
"August 23","493","0"
"August 24","493","0"
"August 25","493","0"
"August 26","493","0"
"August 27","493","0"
