"Date","Video Views","Profile Views","Likes","Comments","Shares"
"May 15","3","0","0","0","0"
"May 16","8","0","0","0","0"
"May 17","3","0","0","0","2"
"May 18","1","0","0","0","0"
"May 19","0","0","0","0","0"
"May 20","3","0","0","0","0"
"May 21","9","0","0","0","1"
"May 22","22","0","0","0","0"
"May 23","2","0","1","0","0"
"May 24","2","0","0","0","0"
"May 25","363","5","10","3","1"
"May 26","35","2","0","0","0"
"May 27","7","0","1","0","0"
"May 28","8","0","1","1","0"
"May 29","11","0","2","0","0"
"May 30","3","0","1","0","0"
"May 31","5","0","1","0","0"
"June 1","6","1","1","0","0"
"June 2","10","0","2","0","1"
"June 3","8","0","0","0","0"
"June 4","6","0","0","0","0"
"June 5","1","0","0","0","0"
"June 6","5","0","0","0","0"
"June 7","2","0","1","0","0"
"June 8","6","0","0","0","0"
"June 9","3","0","0","0","0"
"June 10","7","1","1","0","0"
"June 11","2","0","0","0","0"
"June 12","3","0","0","0","0"
"June 13","18","0","0","0","0"
"June 14","7","0","0","0","0"
"June 15","1","0","0","0","0"
"June 16","3","0","0","0","0"
"June 17","13","0","0","0","0"
"June 18","11","0","0","0","0"
"June 19","10","0","0","0","0"
"June 20","7","0","0","0","0"
"June 21","10","0","0","0","0"
"June 22","5","0","0","0","0"
"June 23","6","0","0","0","0"
"June 24","6","0","1","0","0"
"June 25","3","0","0","0","0"
"June 26","5","0","0","0","0"
"June 27","4","0","0","0","0"
"June 28","2","0","0","0","0"
"June 29","3","0","0","0","0"
"June 30","10","0","0","0","0"
"July 1","3","0","0","0","0"
"July 2","3","0","0","0","0"
"July 3","4","0","0","0","0"
"July 4","1","0","0","0","0"
"July 5","6","0","0","0","0"
"July 6","2","0","0","0","0"
"July 7","3","0","0","0","0"
"July 8","2","0","0","0","0"
"July 9","1","0","0","0","0"
"July 10","2","0","0","0","0"
"July 11","5","0","0","0","0"
"July 12","5","0","0","0","0"
"July 13","4","0","0","0","0"
"July 14","2","0","0","-1","0"
"July 15","0","1","0","0","0"
"July 16","3","0","0","0","0"
"July 17","2","0","0","0","0"
"July 18","4","0","0","0","0"
"July 19","5","0","1","0","0"
"July 20","1","0","0","0","0"
"July 21","7","1","0","0","0"
"July 22","1","0","0","0","0"
"July 23","7","0","0","0","0"
"July 24","4","0","0","0","0"
"July 25","0","0","0","0","0"
"July 26","5","0","0","0","0"
"July 27","5","0","0","0","0"
"July 28","3","0","0","0","0"
"July 29","2","0","0","0","0"
"July 30","4","0","0","0","0"
"July 31","3","0","0","0","0"
"August 1","1","0","0","0","0"
"August 2","5","0","0","0","0"
"August 3","3","0","0","0","0"
"August 4","6","0","0","-1","0"
"August 5","3","0","0","0","0"
"August 6","3","0","0","0","0"
"August 7","6","0","0","0","0"
"August 8","4","0","0","0","0"
"August 9","5","0","0","0","0"
"August 10","3","0","0","0","0"
"August 11","2","0","0","0","0"
"August 12","2","0","0","0","0"
"August 13","2","0","0","0","0"
"August 14","0","0","0","0","0"
"August 15","6","0","0","0","0"
"August 16","4","0","0","0","0"
"August 17","3","0","0","0","0"
"August 18","0","0","0","-1","0"
"August 19","0","0","0","0","0"
"August 20","2","0","0","0","0"
"August 21","1","0","0","0","0"
"August 22","1","0","0","0","0"
"August 23","1","0","0","0","0"
"August 24","0","0","0","0","0"
"August 25","11","0","0","0","0"
"August 26","1","0","0","0","0"
"August 27","1","0","0","0","0"
"August 28","0","0","0","0","0"
"August 29","0","0","0","0","0"
"August 30","4","0","0","0","0"
"August 31","1","0","0","0","0"
"September 1","5","0","0","0","0"
"September 2","0","0","0","0","0"
"September 3","2","0","0","0","0"
"September 4","2","0","0","0","0"
"September 5","0","0","0","0","0"
"September 6","1","0","0","0","0"
"September 7","3","0","0","0","0"
"September 8","1","0","0","0","0"
"September 9","3","0","0","-1","0"
"September 10","2","0","0","0","0"
"September 11","2","0","0","0","0"
"September 12","1","0","0","0","0"
"September 13","1","0","0","0","0"
"September 14","2","0","0","0","0"
"September 15","4","0","0","0","0"
"September 16","1","0","0","0","0"
"September 17","1","0","0","0","0"
"September 18","10","0","0","0","0"
"September 19","4","0","0","0","0"
"September 20","4","0","0","0","0"
"September 21","4","1","0","0","0"
"September 22","5","0","0","0","0"
"September 23","3","1","0","0","0"
"September 24","4","0","0","0","0"
"September 25","5","0","0","0","0"
"September 26","2","0","0","0","0"
"September 27","1","0","0","0","0"
"September 28","5","0","0","0","0"
"September 29","0","0","0","0","0"
"September 30","1","0","0","0","0"
"October 1","3","0","0","0","0"
"October 2","2","0","0","0","0"
"October 3","2","0","0","0","0"
"October 4","0","0","0","0","0"
"October 5","3","0","0","0","0"
"October 6","3","0","0","0","0"
"October 7","3","0","0","0","0"
"October 8","1","0","0","0","0"
"October 9","0","0","0","0","0"
"October 10","0","0","0","0","0"
"October 11","3","0","0","0","0"
"October 12","2","0","0","0","0"
"October 13","1","0","0","0","0"
"October 14","1","0","0","0","0"
"October 15","0","0","0","0","0"
"October 16","1","0","0","0","0"
"October 17","0","0","0","0","0"
"October 18","1","0","0","0","0"
"October 19","0","0","0","0","0"
"October 20","0","0","0","0","0"
"October 21","1","0","0","0","0"
"October 22","0","0","0","0","0"
"October 23","0","0","0","0","0"
"October 24","2","0","0","0","0"
"October 25","0","0","0","0","0"
"October 26","0","0","0","0","0"
"October 27","1","0","0","0","0"
"October 28","1","0","0","-1","0"
"October 29","0","0","0","0","0"
