"Date","Total Viewers","New Viewers","Returning Viewers"
"May 16","1","0","1"
"May 17","5","4","1"
"May 18","3","2","1"
"May 19","1","0","1"
"May 20","0","0","0"
"May 21","2","2","0"
"May 22","6","5","1"
"May 23","7","2","5"
"May 24","2","2","0"
"May 25","300","277","23"
"May 26","300","277","23"
"May 27","20","5","15"
"May 28","6","4","2"
"May 29","8","5","3"
"May 30","4","1","3"
"May 31","3","2","1"
"June 1","3","1","2"
"June 2","4","3","1"
"June 3","6","3","3"
"June 4","4","3","1"
"June 5","5","4","1"
"June 6","1","1","0"
"June 7","5","3","2"
"June 8","2","1","1"
"June 9","4","3","1"
"June 10","2","1","1"
"June 11","6","6","0"
"June 12","2","1","1"
"June 13","3","1","2"
"June 14","14","12","2"
"June 15","6","4","2"
"June 16","1","1","0"
"June 17","2","2","0"
"June 18","9","9","0"
"June 19","10","8","2"
"June 20","9","8","1"
"June 21","6","6","0"
"June 22","9","7","2"
"June 23","5","3","2"
"June 24","5","5","0"
"June 25","3","2","1"
"June 26","3","2","1"
"June 27","4","4","0"
"June 28","3","3","0"
"June 29","2","2","0"
"June 30","3","3","0"
"July 1","7","6","1"
"July 2","3","2","1"
"July 3","3","3","0"
"July 4","4","4","0"
"July 5","1","1","0"
"July 6","2","1","1"
"July 7","1","0","1"
"July 8","3","3","0"
"July 9","2","2","0"
"July 10","1","1","0"
"July 11","2","1","1"
"July 12","4","4","0"
"July 13","3","3","0"
"July 14","4","4","0"
"July 15","1","1","0"
"July 16","0","0","0"
"July 17","3","2","1"
"July 18","2","2","0"
"July 19","4","3","1"
"July 20","4","2","2"
"July 21","3","2","1"
"July 22","1","1","0"
"July 23","4","4","0"
"July 24","5","5","0"
"July 25","1","1","0"
"July 26","3","3","0"
"July 27","1","1","0"
"July 28","5","4","1"
"July 29","1","1","0"
"July 30","4","4","0"
"July 31","2","2","0"
"August 1","3","3","0"
"August 2","1","1","0"
"August 3","4","4","0"
"August 4","2","2","0"
"August 5","4","2","2"
"August 6","3","3","0"
"August 7","3","3","0"
"August 8","3","2","1"
"August 9","4","4","0"
"August 10","4","3","1"
"August 11","2","0","2"
"August 12","2","1","1"
"August 13","1","1","0"
"August 14","1","1","0"
"August 15","0","0","0"
"August 16","5","4","1"
"August 17","4","4","0"
"August 18","2","2","0"
"August 19","0","0","0"
"August 20","0","0","0"
"August 21","1","1","0"
"August 22","1","1","0"
"August 23","1","0","1"
"August 24","1","1","0"
"August 25","0","0","0"
"August 26","6","5","1"
"August 27","1","1","0"
"August 28","1","1","0"
"August 29","0","0","0"
"August 30","0","0","0"
"August 31","1","1","0"
"September 1","1","1","0"
"September 2","4","4","0"
"September 3","0","0","0"
"September 4","2","2","0"
"September 5","2","2","0"
"September 6","0","0","0"
"September 7","1","1","0"
"September 8","3","3","0"
"September 9","1","1","0"
"September 10","2","2","0"
"September 11","2","2","0"
"September 12","1","1","0"
"September 13","1","1","0"
"September 14","1","1","0"
"September 15","2","2","0"
"September 16","3","3","0"
"September 17","1","1","0"
"September 18","1","1","0"
"September 19","9","9","0"
"September 20","4","4","0"
"September 21","3","3","0"
"September 22","4","4","0"
"September 23","3","3","0"
"September 24","2","2","0"
"September 25","4","4","0"
"September 26","3","3","0"
"September 27","3","3","0"
"September 28","4","4","0"
"September 29","4","4","0"
"September 30","0","0","0"
"October 1","1","1","0"
"October 2","3","3","0"
"October 3","2","2","0"
"October 4","2","2","0"
"October 5","0","0","0"
"October 6","3","3","0"
"October 7","2","2","0"
"October 8","2","2","0"
"October 9","1","1","0"
"October 10","0","0","0"
"October 11","0","0","0"
"October 12","3","3","0"
"October 13","2","2","0"
"October 14","1","0","1"
"October 15","1","1","0"
"October 16","0","0","0"
"October 17","1","1","0"
"October 18","0","0","0"
"October 19","1","1","0"
"October 20","0","0","0"
"October 21","0","0","0"
"October 22","1","1","0"
"October 23","0","0","0"
"October 24","0","0","0"
"October 25","2","2","0"
"October 26","0","0","0"
"October 27","0","0","0"
"October 28","1","1","0"
"October 29","1","0","1"
"October 30","0","0","0"
"October 31","0","0","0"
"November 1","1","1","0"
"November 2","0","0","0"
"November 3","0","0","0"
"November 4","0","0","0"
"November 5","2","2","0"
"November 6","3","3","0"
"November 7","2","2","0"
"November 8","0","0","0"
"November 9","0","0","0"
"November 10","0","0","0"
"November 11","0","0","0"
"November 12","0","0","0"
"November 13","0","0","0"
"November 14","0","0","0"
"November 15","0","0","0"
"November 16","1","1","0"
"November 17","0","0","0"
"November 18","0","0","0"
"November 19","0","0","0"
