Date,Views,Watch time (minutes),Subscribers gained
2026-04-18,147,116,0
2026-04-19,152,217,0
2026-04-20,168,135,1
2026-04-21,88,67,0
2026-04-22,51,187,0
2026-04-23,41,282,0
2026-04-24,76,227,0
2026-04-25,94,591,2
2026-04-26,67,135,1
2026-04-27,97,86,1
2026-04-28,74,136,1
2026-04-29,83,560,1
2026-04-30,92,309,2
2026-05-01,81,310,1
2026-05-02,117,518,2
2026-05-03,68,458,2
2026-05-04,76,533,3
2026-05-05,41,240,0
2026-05-06,73,275,0
2026-05-07,53,255,0
2026-05-08,76,398,3
2026-05-09,1298,984,4
2026-05-10,1517,694,5
2026-05-11,1433,475,3
2026-05-12,539,260,4
2026-05-13,1070,511,6
