Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Transaction revenue (USD),Transactions,Revenue per transaction (USD),YouTube Premium (USD),Estimated DoubleClick revenue (USD),Watch Page ads (USD),Estimated AdSense revenue (USD),YouTube ad revenue (USD),Ad impressions,Playback-based CPM (USD),CPM (USD),Estimated monetized playbacks,RPM (USD),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,451211,0:01:28,50.82,66.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764712,11177.1433,5877,0,880470,4.06
UObM30FGdSs,The 12 Tribes origins and historical significance!  #history #biblicalexploration #history,"Feb 15, 2025",45,89216,0:01:05,146.19,70.63,,,,,,,,,,,,,,,,,,,,115243,1634.8646,1446,,99947,4.52
WpEsJWK1Awo,The Slave Ships of Deuteronomy 28 — Biblical Prophecy Fulfilled,"Mar 30, 2025",45,27591,0:01:11,159.35,72.98,,,,,,,,,,,,,,,,,,,,59920,553.7381,362,,14271,6.23
fGuiMnJQsjY,Why God Chose The Smallest Nation To Be SPECIAL? #blackhistory @AIBIBLEGOSPELS,"Mar 3, 2025",40,16605,0:01:08,171.27,77.32,,,,,,,,,,,,,,,,,,,,22300,316.2635,225,,46429,7.53
hNt6alQiIVE,The Tribe of Judah in North America — Where Are They Now?,"Apr 3, 2025",58,16009,0:01:28,152.86,75.91,,,,,,,,,,,,,,,,,,,,33316,396.3603,153,,16776,5.78
rjtM2N5MIGM,Christ Will Destroy Edom — Genesis 49 Prophecy Explained,"Apr 5, 2025",62,13473,0:01:18,126.93,79.17,,,,,,,,,,,,,,,,,,,,27022,296.0819,150,,16391,7.84
RSooE7guQxg,Noah Youngins #biblicalexploration #history #blackhistory @AIBIBLEGOSPELS,"Feb 19, 2025",37,12983,0:00:57,155.81,68.24,,,,,,,,,,,,,,,,,,,,13123,207.9222,122,,2973,2.66
H9jblXXVHxY,Where Did The Lost Tribes of Israel Really Go? #history #biblicalexploration #blackhistory,"Feb 9, 2025",38,11445,0:00:59,156.07,78.99,,,,,,,,,,,,,,,,,,,,12011,188.615,140,,13184,3.31
EWksyIbaImo,The Tribe of Zebulun and the Panama Canal — Bible Prophecy,"Apr 7, 2025",55,10531,0:01:17,140.68,71.04,,,,,,,,,,,,,,,,,,,,22270,227.9823,55,,4134,2.39
dKw6UGVQF98,Deuteronomy 28:68 — They Went Into Slavery on Ships,"Mar 28, 2025",44,9715,0:01:02,142.09,63.87,,,,,,,,,,,,,,,,,,,,19415,170.5501,72,,4366,3.21
mAJS97kNC5E,The Prophecy Reveled : Chosen 12 Tribes of Israel (Official Movie ),"May 26, 2025",5367,9373,0:17:23,19.45,,,,,,,,,,,,,,,,,,,,,9373,2717.4534,236,,116186,4.37
svPYMDJB6f4,A Nation Swift as the Eagle — Who Is Deuteronomy 28:49 About?,"Mar 27, 2025",40,9138,0:00:55,139.21,65.27,,,,,,,,,,,,,,,,,,,,16962,142.5966,60,,6659,3.08
0XrtYFN9Kr0,The Tribe of Reuben — Seminole Indians and Genesis 49,"Mar 31, 2025",56,7877,0:01:03,114.05,67.26,,,,,,,,,,,,,,,,,,,,16161,141.3655,53,,5472,3.38
JVB7mOU2AhI,The Seminole Indians Were Israelites — The Proof,"Apr 1, 2025",59,7548,0:01:21,137.66,71.11,,,,,,,,,,,,,,,,,,,,16369,171.6082,65,,3132,2.84
DEYNUT9uoxM,12 Tribes Of Israel what did the tribe of Judah do? #history @AIBIBLEGOSPELS,"Feb 21, 2025",34,7524,0:00:45,133.45,61.73,,,,,,,,,,,,,,,,,,,,8226,94.9232,45,,21101,3.19
isBUYL7jvdY,The Tribe of Gad — 300+ Native Nations Descend From Israel,"Apr 19, 2025",58,7199,0:01:28,153.32,71.91,,,,,,,,,,,,,,,,,,,,15570,178.979,65,,2200,2.41
8pMiLny_LOc,Aztecs and the Day of the Dead — Ancient Babylonian Connection,"Apr 15, 2025",56,6522,0:01:16,136.64,77.43,,,,,,,,,,,,,,,,,,,,12811,139.4167,60,,12492,6.31
m51Aex5Y6Aw,Who are the Scattered Hebrew Israelites in the Americas? #history #biblicalexploration #blackhistory,"Feb 13, 2025",51,5435,0:01:08,133.98,64.73,,,,,,,,,,,,,,,,,,,,5593,103.1797,46,,5617,4.79
