Date,Content,Video title,Video publish time,Duration,Average view duration
2024,UObM30FGdSs,The 12 Tribes origins and historical significance!  #history #biblicalexploration #history,"Feb 15, 2025",45,0:00:00
2025,UObM30FGdSs,The 12 Tribes origins and historical significance!  #history #biblicalexploration #history,"Feb 15, 2025",45,0:01:05
2026,UObM30FGdSs,The 12 Tribes origins and historical significance!  #history #biblicalexploration #history,"Feb 15, 2025",45,0:01:00
2024,WpEsJWK1Awo,Part 11: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 30, 2025",45,0:00:00
2025,WpEsJWK1Awo,Part 11: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 30, 2025",45,0:01:11
2026,WpEsJWK1Awo,Part 11: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 30, 2025",45,0:00:29
2024,fGuiMnJQsjY,Why God Chose The Smallest Nation To Be SPECIAL? #blackhistory @AIBIBLEGOSPELS,"Mar 3, 2025",40,0:00:00
2025,fGuiMnJQsjY,Why God Chose The Smallest Nation To Be SPECIAL? #blackhistory @AIBIBLEGOSPELS,"Mar 3, 2025",40,0:01:08
2026,fGuiMnJQsjY,Why God Chose The Smallest Nation To Be SPECIAL? #blackhistory @AIBIBLEGOSPELS,"Mar 3, 2025",40,0:00:58
2024,hNt6alQiIVE,Part 28 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 3, 2025",58,0:00:00
2025,hNt6alQiIVE,Part 28 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 3, 2025",58,0:01:28
2026,hNt6alQiIVE,Part 28 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 3, 2025",58,0:01:06
2024,rjtM2N5MIGM,Part 33 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 5, 2025",62,0:00:00
2025,rjtM2N5MIGM,Part 33 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 5, 2025",62,0:01:18
2026,rjtM2N5MIGM,Part 33 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 5, 2025",62,0:00:24
