Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Engaged views,Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Transaction revenue (USD),Transactions,Revenue per transaction (USD),YouTube Premium (USD),Watch Page ads (USD),Estimated DoubleClick revenue (USD),Estimated AdSense revenue (USD),YouTube ad revenue (USD),Ad impressions,Playback-based CPM (USD),CPM (USD),Estimated monetized playbacks,RPM (USD),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,0:01:28,50.92,451057,66.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764290,11168.4779,5876,0,878587,4.06
UObM30FGdSs,The 12 Tribes origins and historical significance!  #history #biblicalexploration #history,"Feb 15, 2025",45,0:01:05,146.2,89201,70.63,,,,,,,,,,,,,,,,,,,,115217,1634.71,1446,,99676,4.52
WpEsJWK1Awo,Part 11: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 30, 2025",45,0:01:11,159.35,27591,72.98,,,,,,,,,,,,,,,,,,,,59920,553.7381,362,,14271,6.23
fGuiMnJQsjY,Why God Chose The Smallest Nation To Be SPECIAL? #blackhistory @AIBIBLEGOSPELS,"Mar 3, 2025",40,0:01:08,171.27,16605,77.32,,,,,,,,,,,,,,,,,,,,22300,316.2635,225,,46428,7.53
hNt6alQiIVE,Part 28 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 3, 2025",58,0:01:28,152.86,16009,75.91,,,,,,,,,,,,,,,,,,,,33316,396.3603,153,,16766,5.79
rjtM2N5MIGM,Part 33 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 5, 2025",62,0:01:18,126.93,13473,79.17,,,,,,,,,,,,,,,,,,,,27022,296.0819,150,,16391,7.84
RSooE7guQxg,Noah Youngins #biblicalexploration #history #blackhistory @AIBIBLEGOSPELS,"Feb 19, 2025",37,0:00:57,155.81,12983,68.24,,,,,,,,,,,,,,,,,,,,13123,207.9222,122,,2973,2.66
H9jblXXVHxY,Where Did The Lost Tribes of Israel Really Go? #history #biblicalexploration #blackhistory,"Feb 9, 2025",38,0:00:59,156.08,11443,78.98,,,,,,,,,,,,,,,,,,,,12009,188.5964,140,,13163,3.31
EWksyIbaImo,Part 37 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 7, 2025",55,0:01:17,140.68,10531,71.04,,,,,,,,,,,,,,,,,,,,22270,227.9823,55,,4131,2.4
dKw6UGVQF98,Part 10  The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 28, 2025",44,0:01:02,142.09,9715,63.87,,,,,,,,,,,,,,,,,,,,19415,170.5501,72,,4366,3.21
mAJS97kNC5E,The Prophecy Reveled : Chosen 12 Tribes of Israel (Official Movie ) @AIBIBLEGOSPELS,"May 26, 2025",5367,0:17:24,19.46,9338,,,,,,,,,,,,,,,,,,,,,9338,2709.8534,236,,116040,4.37
svPYMDJB6f4,Part 8 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 27, 2025",40,0:00:55,139.21,9138,65.27,,,,,,,,,,,,,,,,,,,,16962,142.5966,60,,6659,3.08
0XrtYFN9Kr0,Part 17 :  The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 31, 2025",56,0:01:03,114.05,7877,67.26,,,,,,,,,,,,,,,,,,,,16161,141.3655,53,,5472,3.38
JVB7mOU2AhI,Part 20 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 1, 2025",59,0:01:21,137.66,7548,71.11,,,,,,,,,,,,,,,,,,,,16369,171.6082,65,,3130,2.84
DEYNUT9uoxM,12 Tribes Of Israel what did the tribe of Judah do? #history @AIBIBLEGOSPELS,"Feb 21, 2025",34,0:00:45,133.45,7524,61.75,,,,,,,,,,,,,,,,,,,,8223,94.9211,45,,21061,3.2
isBUYL7jvdY,Part 47 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 19, 2025",58,0:01:28,153.32,7199,71.91,,,,,,,,,,,,,,,,,,,,15570,178.979,65,,2200,2.41
8pMiLny_LOc,Part 44 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 15, 2025",56,0:01:16,136.64,6522,77.43,,,,,,,,,,,,,,,,,,,,12811,139.4167,60,,12492,6.31
m51Aex5Y6Aw,Who are the Scattered Hebrew Israelites in the Americas? #history #biblicalexploration #blackhistory,"Feb 13, 2025",51,0:01:08,133.98,5435,64.73,,,,,,,,,,,,,,,,,,,,5593,103.1797,46,,5612,4.79
JtHZygSmaH8,Part 21 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 1, 2025",51,0:01:07,132.36,5224,67.78,,,,,,,,,,,,,,,,,,,,11466,99.0727,38,,4065,4.85
_VyT3Wja8rI,Part 11 :  The Prophecy revealed : Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 30, 2025",50,0:01:00,120.29,5003,60.33,,,,,,,,,,,,,,,,,,,,9728,84.5267,27,,4151,2.07
Ad3mUsbLL3w,The Chosen: 12 Tribes of Israel – Teaser Trailer @AIBIBLEGOSPELS,"Apr 12, 2025",68,0:00:29,43.51,4610,,,,,,,,,,,,,,,,,,,,,4610,37.8879,64,,10426,3.89
xMqnO931dic,Part 66: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 7, 2025",50,0:01:25,171.57,4545,76.93,,,,,,,,,,,,,,,,,,,,9608,108.8749,45,,11703,7.22
f9RM-psiCu0,Part 34 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 5, 2025",59,0:01:27,148.56,4388,73.12,,,,,,,,,,,,,,,,,,,,9407,107.5925,28,,3755,6.6
wlF2yDtDdfo,Part 45 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 17, 2025",59,0:01:17,130.63,4129,72.24,,,,,,,,,,,,,,,,,,,,8621,89.0637,59,,2302,3.26
9H4yPDLobmw,Part 15 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 31, 2025",52,0:01:06,127.64,3982,70.17,,,,,,,,,,,,,,,,,,,,8274,74.1016,11,,1677,1.91
8sw0hlTmmaw,Part 62 :  The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 2, 2025",59,0:01:09,117.21,3827,68.4,,,,,,,,,,,,,,,,,,,,7839,74.2691,27,,3914,3.81
